Year;Probability;Topic
1850;3.85;Topic0
1850;49.59;Topic1
1850;0.03;Topic2
1850;0.03;Topic3
1850;46.49;Topic4
1854;17.35;Topic0
1854;23.44;Topic1
1854;3.01;Topic2
1854;38.18;Topic3
1854;18.02;Topic4
1859;20.77;Topic0
1859;14.88;Topic1
1859;3.99;Topic2
1859;10.98;Topic3
1859;49.38;Topic4
1807;7.77;Topic0
1807;30.84;Topic1
1807;0.04;Topic2
1807;49.99;Topic3
1807;11.36;Topic4
1888;58.99;Topic0
1888;16.94;Topic1
1888;0.1;Topic2
1888;0.1;Topic3
1888;23.88;Topic4
1896;60.03;Topic0
1896;0.04;Topic1
1896;6.18;Topic2
1896;7.36;Topic3
1896;26.38;Topic4
1782;6.2;Topic0
1782;80.83;Topic1
1782;5.32;Topic2
1782;0.02;Topic3
1782;7.63;Topic4
1861;35.52;Topic0
1861;15.85;Topic1
1861;3.21;Topic2
1861;13.56;Topic3
1861;31.86;Topic4
1902;6.17;Topic0
1902;0.03;Topic1
1902;34.29;Topic2
1902;2.27;Topic3
1902;57.24;Topic4
1873;5.02;Topic0
1873;15.26;Topic1
1873;0.02;Topic2
1873;55.73;Topic3
1873;23.97;Topic4
1869;49.73;Topic0
1869;12.81;Topic1
1869;0.04;Topic2
1869;28.09;Topic3
1869;9.34;Topic4
1936;48.87;Topic0
1936;15.7;Topic1
1936;4.3;Topic2
1936;28.51;Topic3
1936;2.61;Topic4
1856;16.59;Topic0
1856;33.2;Topic1
1856;5.22;Topic2
1856;0.64;Topic3
1856;44.34;Topic4
1884;17.88;Topic0
1884;0.07;Topic1
1884;2.65;Topic2
1884;0.07;Topic3
1884;79.34;Topic4
1819;19.09;Topic0
1819;21.06;Topic1
1819;35.39;Topic2
1819;5.8;Topic3
1819;18.67;Topic4
1842;39.76;Topic0
1842;20.97;Topic1
1842;12.8;Topic2
1842;10.71;Topic3
1842;15.75;Topic4
1906;65.03;Topic0
1906;7.1;Topic1
1906;0.26;Topic2
1906;27.35;Topic3
1906;0.26;Topic4
1849;47.75;Topic0
1849;30.8;Topic1
1849;7.39;Topic2
1849;0.05;Topic3
1849;14.01;Topic4
1929;95.07;Topic0
1929;0.05;Topic1
1929;0.05;Topic2
1929;0.05;Topic3
1929;4.77;Topic4
1871;32.23;Topic0
1871;13.65;Topic1
1871;0.02;Topic2
1871;0.02;Topic3
1871;54.08;Topic4
1889;37.16;Topic0
1889;26.88;Topic1
1889;1.83;Topic2
1889;10.56;Topic3
1889;23.57;Topic4
1848;73.82;Topic0
1848;25.97;Topic1
1848;0.07;Topic2
1848;0.07;Topic3
1848;0.07;Topic4
1815;24.61;Topic0
1815;33.09;Topic1
1815;20.18;Topic2
1815;22.1;Topic3
1815;0.03;Topic4
1752;0.49;Topic0
1752;0.02;Topic1
1752;0.03;Topic2
1752;99.44;Topic3
1752;0.02;Topic4
1857;40.85;Topic0
1857;25.2;Topic1
1857;4.33;Topic2
1857;0.04;Topic3
1857;29.57;Topic4
1913;27.53;Topic0
1913;0.27;Topic1
1913;0.27;Topic2
1913;45.57;Topic3
1913;26.37;Topic4
1772;0.03;Topic0
1772;93.64;Topic1
1772;0.03;Topic2
1772;0.54;Topic3
1772;5.76;Topic4
1860;37.77;Topic0
1860;0.28;Topic1
1860;0.28;Topic2
1860;42.6;Topic3
1860;19.07;Topic4
1843;95.97;Topic0
1843;0.05;Topic1
1843;0.05;Topic2
1843;2.56;Topic3
1843;1.36;Topic4
1837;17.8;Topic0
1837;13.55;Topic1
1837;14.89;Topic2
1837;15.53;Topic3
1837;38.23;Topic4
1901;50.08;Topic0
1901;12.52;Topic1
1901;16.81;Topic2
1901;0.4;Topic3
1901;20.19;Topic4
1868;0.02;Topic0
1868;10.82;Topic1
1868;15.87;Topic2
1868;71.2;Topic3
1868;2.09;Topic4
1747;0.03;Topic0
1747;0.03;Topic1
1747;0.03;Topic2
1747;99.88;Topic3
1747;0.03;Topic4
1870;0.02;Topic0
1870;13.74;Topic1
1870;6.12;Topic2
1870;78.48;Topic3
1870;1.65;Topic4
1825;23.56;Topic0
1825;41.75;Topic1
1825;20.73;Topic2
1825;13.94;Topic3
1825;0.03;Topic4
1886;98.95;Topic0
1886;0.26;Topic1
1886;0.26;Topic2
1886;0.27;Topic3
1886;0.26;Topic4
1897;67.01;Topic0
1897;2.79;Topic1
1897;19.04;Topic2
1897;0.04;Topic3
1897;11.13;Topic4
1907;68.29;Topic0
1907;2.72;Topic1
1907;0.13;Topic2
1907;28.73;Topic3
1907;0.13;Topic4
1771;0.04;Topic0
1771;0.04;Topic1
1771;1.16;Topic2
1771;98.73;Topic3
1771;0.03;Topic4
1887;0.03;Topic0
1887;8.67;Topic1
1887;10.17;Topic2
1887;1.86;Topic3
1887;79.27;Topic4
1818;13.26;Topic0
1818;61.08;Topic1
1818;18.07;Topic2
1818;7.39;Topic3
1818;0.2;Topic4
1911;29.8;Topic0
1911;7.21;Topic1
1911;0.32;Topic2
1911;62.35;Topic3
1911;0.32;Topic4
1892;70.15;Topic0
1892;18.83;Topic1
1892;0.14;Topic2
1892;0.14;Topic3
1892;10.74;Topic4
1904;53.23;Topic0
1904;0.04;Topic1
1904;9.36;Topic2
1904;0.04;Topic3
1904;37.33;Topic4
1800;16.98;Topic0
1800;17.79;Topic1
1800;0.9;Topic2
1800;48.74;Topic3
1800;15.59;Topic4
1751;0.03;Topic0
1751;0.03;Topic1
1751;0.03;Topic2
1751;99.89;Topic3
1751;0.03;Topic4
1878;66.46;Topic0
1878;11.11;Topic1
1878;0.03;Topic2
1878;0.44;Topic3
1878;21.95;Topic4
1875;43.29;Topic0
1875;8.86;Topic1
1875;0.02;Topic2
1875;0.02;Topic3
1875;47.8;Topic4
1890;61.37;Topic0
1890;14.69;Topic1
1890;0.16;Topic2
1890;0.16;Topic3
1890;23.62;Topic4
1839;63.04;Topic0
1839;0.14;Topic1
1839;0.14;Topic2
1839;36.55;Topic3
1839;0.14;Topic4
1866;4.34;Topic0
1866;9.47;Topic1
1866;3.0;Topic2
1866;76.53;Topic3
1866;6.67;Topic4
1932;13.46;Topic0
1932;0.04;Topic1
1932;0.04;Topic2
1932;34.1;Topic3
1932;52.35;Topic4
1836;47.96;Topic0
1836;7.66;Topic1
1836;0.77;Topic2
1836;21.23;Topic3
1836;22.38;Topic4
1750;0.02;Topic0
1750;0.02;Topic1
1750;0.27;Topic2
1750;99.67;Topic3
1750;0.02;Topic4
1900;60.8;Topic0
1900;7.13;Topic1
1900;0.05;Topic2
1900;8.45;Topic3
1900;23.58;Topic4
1852;87.65;Topic0
1852;0.26;Topic1
1852;0.26;Topic2
1852;0.26;Topic3
1852;11.58;Topic4
1789;0.08;Topic0
1789;85.35;Topic1
1789;0.08;Topic2
1789;0.08;Topic3
1789;14.4;Topic4
1917;16.76;Topic0
1917;6.45;Topic1
1917;2.38;Topic2
1917;66.15;Topic3
1917;8.27;Topic4
1926;84.53;Topic0
1926;0.03;Topic1
1926;3.47;Topic2
1926;10.25;Topic3
1926;1.72;Topic4
1943;59.38;Topic0
1943;3.44;Topic1
1943;12.3;Topic2
1943;24.83;Topic3
1943;0.05;Topic4
1788;25.32;Topic0
1788;0.06;Topic1
1788;31.56;Topic2
1788;37.99;Topic3
1788;5.06;Topic4
1831;26.01;Topic0
1831;2.73;Topic1
1831;11.29;Topic2
1831;59.81;Topic3
1831;0.16;Topic4
1832;27.39;Topic0
1832;0.27;Topic1
1832;11.12;Topic2
1832;60.95;Topic3
1832;0.27;Topic4
1851;48.31;Topic0
1851;8.67;Topic1
1851;0.09;Topic2
1851;0.09;Topic3
1851;42.83;Topic4
