Author;Probability;Topic
Крылов;12.61;Topic0
Крылов;38.87;Topic1
Крылов;4.65;Topic2
Крылов;22.95;Topic3
Крылов;10.42;Topic4
Крылов;10.51;Topic5
ТолстойЛев;8.22;Topic0
ТолстойЛев;20.53;Topic1
ТолстойЛев;5.58;Topic2
ТолстойЛев;1.4;Topic3
ТолстойЛев;46.86;Topic4
ТолстойЛев;17.41;Topic5
Гумилёв;0.13;Topic0
Гумилёв;40.28;Topic1
Гумилёв;0.49;Topic2
Гумилёв;49.43;Topic3
Гумилёв;0.13;Topic4
Гумилёв;9.54;Topic5
Пушкин;2.83;Topic0
Пушкин;38.36;Topic1
Пушкин;5.08;Topic2
Пушкин;31.92;Topic3
Пушкин;11.14;Topic4
Пушкин;10.68;Topic5
Гоголь;18.44;Topic0
Гоголь;9.97;Topic1
Гоголь;9.94;Topic2
Гоголь;4.66;Topic3
Гоголь;14.58;Topic4
Гоголь;42.41;Topic5
Сумароков;0.02;Topic0
Сумароков;2.94;Topic1
Сумароков;0.02;Topic2
Сумароков;96.96;Topic3
Сумароков;0.02;Topic4
Сумароков;0.02;Topic5
Тургенев;14.28;Topic0
Тургенев;14.23;Topic1
Тургенев;2.19;Topic2
Тургенев;0.07;Topic3
Тургенев;17.83;Topic4
Тургенев;51.4;Topic5
Сухово-Кобылин;22.54;Topic0
Сухово-Кобылин;3.16;Topic1
Сухово-Кобылин;1.11;Topic2
Сухово-Кобылин;15.91;Topic3
Сухово-Кобылин;26.61;Topic4
Сухово-Кобылин;30.66;Topic5
Булгаков;11.66;Topic0
Булгаков;4.48;Topic1
Булгаков;3.49;Topic2
Булгаков;23.22;Topic3
Булгаков;1.32;Topic4
Булгаков;55.84;Topic5
Блок;0.15;Topic0
Блок;36.02;Topic1
Блок;0.81;Topic2
Блок;20.74;Topic3
Блок;0.14;Topic4
Блок;42.14;Topic5
Островский;14.21;Topic0
Островский;32.04;Topic1
Островский;0.61;Topic2
Островский;4.81;Topic3
Островский;32.07;Topic4
Островский;16.28;Topic5
Шаховской;10.94;Topic0
Шаховской;68.38;Topic1
Шаховской;11.28;Topic2
Шаховской;1.36;Topic3
Шаховской;5.69;Topic4
Шаховской;2.34;Topic5
Чехов;13.27;Topic0
Чехов;20.54;Topic1
Чехов;4.48;Topic2
Чехов;3.3;Topic3
Чехов;20.6;Topic4
Чехов;37.82;Topic5
Фонвизин;84.61;Topic0
Фонвизин;3.92;Topic1
Фонвизин;2.99;Topic2
Фонвизин;0.67;Topic3
Фонвизин;2.82;Topic4
Фонвизин;4.98;Topic5
ТолстойАлексей;15.35;Topic0
ТолстойАлексей;0.01;Topic1
ТолстойАлексей;4.26;Topic2
ТолстойАлексей;76.34;Topic3
ТолстойАлексей;2.25;Topic4
ТолстойАлексей;1.8;Topic5
